site,depth_num,depth_name,treatment,rep,W1_tube_cap_g,soil_g,W2,W3_resid_tube_soil_7_g,soln_tube_soil_13_g,C3,C4,F,AEC,unique_ID,unique_ID_short,KCl_NO3_blank_corrected_ug_N_L,pH_DI,ph_1M_KCl,bulk_density,years_soy,years_maize,years_since_deforested
CN,7,7-Jun,forest,orange,12.8682,0.1731,13.0413,13.42,34.6344,150.394,5.4824,0.917900704,1.090483819,CN_6_7_o,CN_6_7,64.0284,5.65,4.94,1.30137457,0,0,0
CN,8,8-Jul,forest,orange,12.9071,0.1407,13.0478,13.3761,35.8746,147.393,4.3005,0.917900704,1.08715274,CN_7_8_o,CN_7_8,199.6175,5.77,4.82,1.281408935,0,0,0
CN,1,0-1,forest,pink,12.9512,0.1718,13.123,13.4024,35.6292,138.911,4.7528,0.917900704,1.219075339,CN_0_1_p,CN_0_1,403.00145,4.13,3.92,1.108235968,0,0,0
CN,2,2-Jan,forest,pink,12.9121,0.1216,13.0337,13.4421,37.2393,155.808,5.2362,0.917900704,1.594920866,CN_1_2_p,CN_1_2,448.19825,4.92,4.36,1.027766323,0,0,0
CN,3,3-Feb,forest,pink,12.8593,0.1677,13.027,13.3521,35.6205,145.773,4.5392,0.917900704,1.010849944,CN_2_3_p,CN_2_3,346.5062,5.38,4.8,1.005601375,0,0,0
CN,4,4-Mar,forest,pink,12.9275,0.1344,13.0619,13.3754,34.6919,147.888,5.1956,0.917900704,1.509433576,CN_3_4_p,CN_3_4,504.6935,5.3,5.22,0.989278351,0,0,0
CN,5,5-Apr,forest,pink,12.8851,0.1555,13.0406,13.3571,35.1347,149.057,4.4273,0.917900704,1.000737888,CN_4_5_p,CN_4_5,301.3094,5.77,5.35,1.102439863,0,0,0
CN,6,6-May,forest,pink,12.8937,0.1616,13.0553,13.5297,36.2897,150.384,6.2539,0.917900704,1.406459007,CN_5_6_p,CN_5_6,0,5.63,5.1,1.268006873,0,0,0
CN,7,7-Jun,forest,pink,12.8791,0.1506,13.0297,13.4435,34.3635,146.559,6.7546,0.917900704,1.702862523,CN_6_7_p,CN_6_7,64.0284,5.65,4.94,1.30137457,0,0,0
CN,8,8-Jul,forest,pink,12.9136,0.165,13.0786,13.3717,29.2182,150.372,8.2074,0.917900704,1.646156363,CN_7_8_p,CN_7_8,199.6175,5.77,4.82,1.281408935,0,0,0
APP4,1,3-Feb,maize,orange,13.0555,0.1816,13.2371,13.545,43.8432,158.461,4.8225,0.968665135,1.584340843,APP4_0_1_o,APP4_0_1,345.56285,7.24,6.55,1.108235968,13,4,26
APP4,2,4-Mar,maize,orange,12.9443,0.1756,13.1199,13.4399,46.0229,155.034,4.4908,0.968665135,1.627566513,APP4_1_2_o,APP4_1_2,1581.264,5.67,5.54,1.027766323,13,4,26
APP4,3,5-Apr,maize,orange,13.0201,0.3172,13.3373,13.8069,42.5146,152.524,7.1532,0.968665135,1.258440271,APP4_2_3_o,APP4_2_3,2477.0685,5.73,5.94,1.005601375,13,4,26
APP4,4,6-May,maize,orange,12.9743,0.1987,13.173,13.5504,43.6365,155.705,5.6361,0.968665135,1.654982911,APP4_3_4_o,APP4_3_4,3048.232,5.54,6.1,0.989278351,13,4,26
APP4,5,7-Jun,maize,orange,12.9872,0.2223,13.2095,13.6658,46.1872,155.596,6.2617,0.968665135,1.774870998,APP4_4_5_o,APP4_4_5,749.2801,5.95,6.06,1.102439863,13,4,26
APP4,6,8-Jul,maize,orange,13.0108,0.196,13.2068,13.572,45.74,154.29,5.5088,0.968665135,1.825453808,APP4_5_6_o,APP4_5_6,587.5094,6.16,6.08,1.268006873,13,4,26
APP4,7,0-1,maize,orange,12.9966,0.2349,13.2315,13.6185,45.681,167.182,5.9818,0.898700025,1.729047635,APP4_6_7_o,APP4_6_7,170.31125,6.22,6.03,1.30137457,13,4,26
APP4,8,0-1,maize,orange,13.0264,0.1867,13.2131,13.6973,45.4247,160.823,6.358,0.917900704,2.089172007,APP4_7_8_o,APP4_7_8,350.24565,6.25,6.18,1.281408935,13,4,26
APP4,1,4-Mar,maize,pink,13.0615,0.2317,13.2932,13.6173,47.1218,156.141,6.579,0.968665135,2.161012202,APP4_0_1_p,APP4_0_1,345.56285,7.24,6.55,1.108235968,13,4,26
APP4,2,5-Apr,maize,pink,12.9543,0.2305,13.1848,13.5638,44.7424,159.055,5.5738,0.968665135,1.460536735,APP4_1_2_p,APP4_1_2,1581.264,5.67,5.54,1.027766323,13,4,26
APP4,3,6-May,maize,pink,13.0426,0.2453,13.2879,13.8582,44.1142,156.235,7.0353,0.968665135,1.516734652,APP4_2_3_p,APP4_2_3,2477.0685,5.73,5.94,1.005601375,13,4,26
APP4,4,7-Jun,maize,pink,12.9697,0.2309,13.2006,13.6859,44.9111,155.454,6.178,0.968665135,1.51919181,APP4_3_4_p,APP4_3_4,3048.232,5.54,6.1,0.989278351,13,4,26
APP4,5,8-Jul,maize,pink,12.9856,0.2248,13.2104,13.6147,41.2259,157.762,6.115,0.968665135,1.392878278,APP4_4_5_p,APP4_4_5,749.2801,5.95,6.06,1.102439863,13,4,26
